Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Position Size,Stop Loss,Take Profit,Exit Reason,Profit/Loss $,Profit/Loss %,Capital After Trade,Trade Duration
NVDA,2024-05-29,2024-05-30,114.79783630371094,112.50187957763671,20.551444679974892,112.50187957763671,119.38974975585938,Stop Loss,-47.185227643530666,-2.000000000000004,1525.6556938074916,1
NVDA,2024-06-03,2024-06-05,114.9728012084961,119.57171325683593,19.904564528798492,112.67334518432617,119.57171325683593,Take Profit,91.53934162844921,3.9999999999999973,1617.1950354359408,2
NVDA,2024-06-10,2024-06-11,121.76119232177734,119.3259684753418,19.92254269934617,119.3259684753418,126.63164001464844,Stop Loss,-48.51585106307822,-2.000000000000001,1568.6791843728627,1
NVDA,2024-06-12,2024-06-14,125.18065643310547,130.1878826904297,18.796983844039104,122.67704330444336,130.1878826904297,Take Profit,94.12075106237175,4.000000000000001,1662.7999354352344,2
NVDA,2024-06-18,2024-06-20,135.55906677246094,132.8478854370117,18.399358763212923,132.8478854370117,140.9814294433594,Stop Loss,-49.88399806305703,-2.000000000000005,1612.9159373721773,2
NVDA,2024-08-19,2024-08-20,129.97991943359375,127.38032104492187,18.61344365038102,127.38032104492187,135.1791162109375,Stop Loss,-48.387478121165316,-2.000000000000003,1564.528459251012,1
NVDA,2024-08-21,2024-08-22,128.48016357421875,125.91056030273437,18.265797797812162,125.91056030273437,133.61937011718751,Stop Loss,-46.93585377753036,-2.0000000000000058,1517.5926054734816,1
NVDA,2024-08-23,2024-08-26,129.3500213623047,126.76302093505859,17.59867438934655,126.76302093505859,134.52402221679688,Stop Loss,-45.52777816420445,-2.0000000000000018,1472.0648273092772,3
NVDA,2024-08-27,2024-08-28,128.2801971435547,125.7145932006836,17.2130795721564,125.7145932006836,133.41140502929687,Stop Loss,-44.16194481927832,-1.9999999999999991,1427.902882489999,1
NVDA,2024-09-24,2024-09-26,120.8616714477539,125.69613830566406,17.72153485946843,118.44443801879882,125.69613830566406,Take Profit,85.67417294939968,4.000000000000002,1513.5770554393987,2
NVDA,2024-10-03,2024-10-07,122.84153747558594,127.75519897460939,18.48206746525226,120.38470672607421,127.75519897460939,Take Profit,90.81462332636391,4.000000000000008,1604.3916787657627,4
NVDA,2024-10-08,2024-10-14,132.88084411621094,138.19607788085938,18.110868682049926,130.22322723388672,138.19607788085938,Take Profit,96.26350072594576,4.000000000000002,1700.6551794917084,6
NVDA,2024-10-16,2024-10-21,135.7106475830078,141.13907348632813,18.797219044122862,132.99643463134765,141.13907348632813,Take Profit,102.0393107695025,4.0000000000000036,1802.6944902612108,5
NVDA,2024-10-24,2024-10-30,140.40032958984375,137.59232299804688,19.25951130806624,137.59232299804688,146.01634277343751,Stop Loss,-54.080834707836324,-1.9999999999999951,1748.6136555533744,6
NVDA,2024-11-05,2024-11-06,139.90036010742188,145.49637451171876,18.748489863186016,137.10235290527345,145.49637451171876,Take Profit,104.916819333203,4.000000000000004,1853.5304748865774,1
NVDA,2024-11-07,2024-11-11,148.8697509765625,145.89235595703124,18.676028502039866,145.89235595703124,154.82454101562502,Stop Loss,-55.605914246597315,-2.0000000000000053,1797.92456063998,4
NVDA,2024-11-12,2024-11-15,148.27976989746094,145.31417449951172,18.18782725940926,145.31417449951172,154.21096069335937,Stop Loss,-53.937736819199394,-1.9999999999999976,1743.9868238207805,3
NVDA,2024-11-19,2024-11-20,146.99986267089844,144.05986541748047,17.79580054158142,144.05986541748047,152.87985717773438,Stop Loss,-52.319604714623416,-2.0000000000000013,1691.667219106157,1
NVDA,2024-11-21,2024-11-22,146.65989685058594,143.7266989135742,17.30194063373972,143.7266989135742,152.5262927246094,Stop Loss,-50.75001657318471,-2.0000000000000058,1640.9172025329724,1
NVDA,2025-01-03,2025-01-06,144.47000122070312,150.24880126953124,17.037279594393226,141.58060119628905,150.24880126953124,Take Profit,98.45503215197786,3.9999999999999947,1739.3722346849502,3
NVDA,2025-01-21,2025-01-22,140.8300018310547,146.46320190429688,18.526296372255725,138.0134017944336,146.46320190429688,Take Profit,104.36233408109753,4.000000000000004,1843.7345687660477,1
NVDA,2025-02-18,2025-02-21,139.39999389648438,136.6119940185547,19.83932549669092,136.6119940185547,144.97599365234376,Stop Loss,-55.31203706298144,-1.9999999999999933,1788.4225317030662,3
